,,,,,,annual_inc,annual_inc,dti,dti,installment,installment,int_rate,int_rate,loan_amnt,loan_amnt,revol_bal,revol_bal,revol_util,revol_util,total_pymnt,total_pymnt
loan_status,,,,,,Charged Off,Fully Paid,Charged Off,Fully Paid,Charged Off,Fully Paid,Charged Off,Fully Paid,Charged Off,Fully Paid,Charged Off,Fully Paid,Charged Off,Fully Paid,Charged Off,Fully Paid
term,grade,purpose,emp_length,home_ownership,verification_status,,,,,,,,,,,,,,,,
 36 months,A,car,mid,MORTGAGE,Not Verified,52300,60000,7.165,8.03,138.435,154.37,8.205,7.05,4400,5000,6780,5139,44.9,15.5,2228.67,5428.767824
 36 months,A,car,mid,MORTGAGE,Source Verified,,60000,,10.83,,154.37,,6.62,,5000,,4894,,18.7,,5557.025543
 36 months,A,car,mid,MORTGAGE,Verified,69996,115600,12.62,5.72,374.29,261.34,7.68,5.79,12000,8400,16810,3765,32.3,16.3,3150.56,9407.870335
 36 months,A,car,mid,OTHER,Not Verified,,55000,,6.76,,127.79,,9.32,,4000,,5287,,18.4,,4058.83
 36 months,A,car,mid,OWN,Not Verified,,56500,,13.05,,174.975,,6.92,,5700,,4034.5,,39.85,,6297.575701
 36 months,A,car,mid,RENT,Not Verified,48000,42650,25.85,8.94,186.61,165.895,7.49,7.065,6000,5475,4286,3297,27.8,17.05,1574.77,5831.835573
 36 months,A,car,mid,RENT,Source Verified,30000,60000,18.92,16.78,111.03,155.51,6.92,7.49,3600,5000,959,1296,10.3,13.9,2210.19,5439.435402
 36 months,A,car,mid,RENT,Verified,57700,36250,12.905,10.905,181.91,178.025,8.715,7.89,5750,5700,7120,2744.5,36,19.7,3924.675,6318.024562
 36 months,A,car,new,MORTGAGE,Not Verified,61200,60000,9.425,10.41,332.88,153.52,8.645,7.05,10500,5000,12846.5,5235,33.95,16,5625.6,5429.092343
 36 months,A,car,new,MORTGAGE,Source Verified,56002,67200,17.085,7.95,160.19,184.23,7.43,6.62,5200,6000,6991.5,4168,32.1,14.8,1521.645,6631.958805
 36 months,A,car,new,MORTGAGE,Verified,,65000,,8.6,,180.96,,6.91,,6000,,10618,,21.2,,6514.521414
 36 months,A,car,new,OWN,Not Verified,18000,41500,21.6,8,148.59,168.655,7.88,7.21,4750,5400,4485,4566.5,32.4,23.4,2216.25,6056.529009
 36 months,A,car,new,OWN,Source Verified,,49498,,3.7,,244.965,,7.41,,7787.5,,3435,,12.05,,8473.956036
 36 months,A,car,new,OWN,Verified,,42108,,23.88,,78.35,,8,,2500,,634,,14.4,,2797.315292
 36 months,A,car,new,RENT,Not Verified,17760,45000,2.63,7.2,153.755,172.35,7.77,7.49,4950,5500,398.5,3444,2.5,19.9,2175.275,6132.140777
 36 months,A,car,new,RENT,Source Verified,,40000,,7.85,,165.26,,7.49,,5300,,2256,,17.5,,5641.239374
 36 months,A,car,new,RENT,Verified,63504,45000,8.7,6.55,305.01,156.41,8.94,6.99,9600,6500,41921,4347,56.1,19.5,5786.45,5315.780477
 36 months,A,car,old,MORTGAGE,Not Verified,57900,64158,11.575,13.095,150.18,155.535,8.3,6.76,4750,5000,10140,8301,63.5,21.35,3962.565,5478.387981
 36 months,A,car,old,MORTGAGE,Source Verified,,75000,,11.33,,187.235,,6.03,,6000,,9451.5,,28.45,,6738.411319
 36 months,A,car,old,MORTGAGE,Verified,116400,78000,3.94,10.13,762.08,198.375,8.9,6.805,24000,6450,3885,9922,8.1,22.5,8649.71,7116.525775
 36 months,A,car,old,OWN,Not Verified,43800,48000,7.37,8.06,148.32,163.01,7.05,6.92,4800,5375,0,7349,0,21.4,3210.04,5868.240942
